id,nama
1,LAB. HARDWARE
2,LAB. COWORKING
3,LAB. PROGRAM 1
4,LAB. PROGRAM 2
5,LAB. BASIS DATA
6,LAB. DESIGN
7,LAB. MULTIMEDIA
8,LAB. TUK
9,A301
10,A302
